Genre_04_nouns.csv
Unique nouns: 751, Total nouns: 1792
Total time: Uncomputed,Cost per noun: Uncomputed
backdrop,"['Interactive Movie : A game that is based around video clips, and the player must press buttons at the right time, choose the right sequence of clips, or play other games using the video as a backdrop.']",1
dragon,"[""(ex: Dragon's Lair )\n\nPoint-and-Click Game : A game in which the player interacts with the environment by moving the mouse cursor over areas of the screen and clicking on them."", '(ex: Final Fantasy , Dragon Quest )\n\nRomance Game : A game in which the primary goal is to establish a romantic relationship between the Player Character and one or more of the NPCs.']",2
lair,"[""(ex: Dragon's Lair )\n\nPoint-and-Click Game : A game in which the player interacts with the environment by moving the mouse cursor over areas of the screen and clicking on them.""]",1
point,"[""(ex: Dragon's Lair )\n\nPoint-and-Click Game : A game in which the player interacts with the environment by moving the mouse cursor over areas of the screen and clicking on them."", 'A simplistic type of Point-and-Click Game consisting solely of puzzles to escape a room or series of rooms.', '(ex: Tamagotchi )\n\nSpace-Management Game : A game in which the player is the head of some organization or business, and receives a set amount of resources (sometimes abstracted to money or generic points) with which to construct a facility.', '(ex: Worms )\n\nMultiplayer Online Battle Arena (MOBA): A game that has teams of players competing with each other, typically using the point-and-click interface of a Real Time Strategy; but, unlike RTS games, players control only one Hero Unit instead of a military-industrial complex.', ""\n\nRPG Elements : A game that isn't exactly a Role-Playing Game , but the player character is gaining experience points and levels like in an RPG.""]",5
click,"[""(ex: Dragon's Lair )\n\nPoint-and-Click Game : A game in which the player interacts with the environment by moving the mouse cursor over areas of the screen and clicking on them."", 'A simplistic type of Point-and-Click Game consisting solely of puzzles to escape a room or series of rooms.']",2
mouse,"[""(ex: Dragon's Lair )\n\nPoint-and-Click Game : A game in which the player interacts with the environment by moving the mouse cursor over areas of the screen and clicking on them.""]",1
cursor,"[""(ex: Dragon's Lair )\n\nPoint-and-Click Game : A game in which the player interacts with the environment by moving the mouse cursor over areas of the screen and clicking on them.""]",1
monkey,"[""(ex: Monkey Island , King's Quest )\n\nRoom Escape Game"", '(ex: Super Monkey Ball )\n\nMedical Game :']",2
island,"[""(ex: Monkey Island , King's Quest )\n\nRoom Escape Game""]",1
king,"[""(ex: Monkey Island , King's Quest )\n\nRoom Escape Game""]",1
quest,"[""(ex: Monkey Island , King's Quest )\n\nRoom Escape Game"", 'Massively Multiplayer Online Role-Playing Game (MMORPG): A game that has hundreds of players interacting with each other in the same world in real-time, which completing quests and leveling up.', '(ex: Final Fantasy , Dragon Quest )\n\nRomance Game : A game in which the primary goal is to establish a romantic relationship between the Player Character and one or more of the NPCs.']",3
room,"[""(ex: Monkey Island , King's Quest )\n\nRoom Escape Game"", 'A simplistic type of Point-and-Click Game consisting solely of puzzles to escape a room or series of rooms.', '\n\nMUSH ( Multi User Shared Hallucination ): A MUD that is just a series of rooms, with players given the bare minimum of interaction systems and let loose to create and manage their own role playing.']",4
type,"['A simplistic type of Point-and-Click Game consisting solely of puzzles to escape a room or series of rooms.', 'Breeding Sim : This type of game focuses on breeding creatures to get specific traits.', '(ex: Creatures , Flight Rising )\n\nConstruction and Management Games : This type of game focuses on elements like gathering and management of resources, construction, expansion, research and exploration.', '\n\nLicense-Added Game : A specific type of Licensed Game in which the license is added to a new version of an existing video game franchise.']",4
series,"['A simplistic type of Point-and-Click Game consisting solely of puzzles to escape a room or series of rooms.', '(ex: Wii Fit )\n\nHidden Object Game : A game in which there is a photo realistic cluttered scene and the player must find and click on a series of objects in it.', '(ex: Trauma Center , Theme Hospital )\n\nMinigame Game : A game that has a series of puzzles, challenges and games with very different requirements for defeating them.', '\n\nMUSH ( Multi User Shared Hallucination ): A MUD that is just a series of rooms, with players given the bare minimum of interaction systems and let loose to create and manage their own role playing.', '\n\n3D : When a video game series goes from having two-dimensional sprites to having three-dimensional polygons.', 'A game based on an existing property, usually a movie, TV series or comic book.', '\n\nVideo Game Long Runners : A franchise that has at least six games in its main series and spans ten years.']",7
mystery,"['(ex: Mystery of Time and Space )\n\nVisual Novel : An Adventure Game that focuses more on character interactivity than world interactivity, with dialogue choices being the primary gameplay component.', '(ex: Mystery Case Files )\n\nIdle Game : A genre of game defined by its game play, the primary feature of which is that the easiest way to win is to leave the game running by itself for long periods of time.']",2
visual,"['(ex: Mystery of Time and Space )\n\nVisual Novel : An Adventure Game that focuses more on character interactivity than world interactivity, with dialogue choices being the primary gameplay component.', 'Linear Visual Novel : Visual Novels that feature little to no multiple endings.', '(ex: Ace Attorney , Danganronpa )\n\nKinetic Novel : Visual Novels that feature no player interactivity whatsoever, making them akin to a digital picture book or audio play.']",4
novel,"['(ex: Mystery of Time and Space )\n\nVisual Novel : An Adventure Game that focuses more on character interactivity than world interactivity, with dialogue choices being the primary gameplay component.', 'Linear Visual Novel : Visual Novels that feature little to no multiple endings.', '(ex: Ace Attorney , Danganronpa )\n\nKinetic Novel : Visual Novels that feature no player interactivity whatsoever, making them akin to a digital picture book or audio play.']",3
dialogue,"['(ex: Mystery of Time and Space )\n\nVisual Novel : An Adventure Game that focuses more on character interactivity than world interactivity, with dialogue choices being the primary gameplay component.']",1
choice,"['(ex: Mystery of Time and Space )\n\nVisual Novel : An Adventure Game that focuses more on character interactivity than world interactivity, with dialogue choices being the primary gameplay component.', 'They often allow the player to choose their own adventure and get different endings based on your choices.']",2
component,"['(ex: Mystery of Time and Space )\n\nVisual Novel : An Adventure Game that focuses more on character interactivity than world interactivity, with dialogue choices being the primary gameplay component.', 'Beta Test : A development version of the game, built to test how the various components of the program interact with one another and the computer.']",2
ending,"['They often allow the player to choose their own adventure and get different endings based on your choices.', 'Linear Visual Novel : Visual Novels that feature little to no multiple endings.']",2
linear,['Linear Visual Novel : Visual Novels that feature little to no multiple endings.'],1
novels,"['Linear Visual Novel : Visual Novels that feature little to no multiple endings.', '(ex: Ace Attorney , Danganronpa )\n\nKinetic Novel : Visual Novels that feature no player interactivity whatsoever, making them akin to a digital picture book or audio play.']",2
ace,"['(ex: Ace Attorney , Danganronpa )\n\nKinetic Novel : Visual Novels that feature no player interactivity whatsoever, making them akin to a digital picture book or audio play.']",1
attorney,"['(ex: Ace Attorney , Danganronpa )\n\nKinetic Novel : Visual Novels that feature no player interactivity whatsoever, making them akin to a digital picture book or audio play.']",1
danganronpa,"['(ex: Ace Attorney , Danganronpa )\n\nKinetic Novel : Visual Novels that feature no player interactivity whatsoever, making them akin to a digital picture book or audio play.']",1
kinetic,"['(ex: Ace Attorney , Danganronpa )\n\nKinetic Novel : Visual Novels that feature no player interactivity whatsoever, making them akin to a digital picture book or audio play.']",1
picture,"['(ex: Ace Attorney , Danganronpa )\n\nKinetic Novel : Visual Novels that feature no player interactivity whatsoever, making them akin to a digital picture book or audio play.']",1
book,"['(ex: Ace Attorney , Danganronpa )\n\nKinetic Novel : Visual Novels that feature no player interactivity whatsoever, making them akin to a digital picture book or audio play.', 'A game based on an existing property, usually a movie, TV series or comic book.']",2
play,"['(ex: Ace Attorney , Danganronpa )\n\nKinetic Novel : Visual Novels that feature no player interactivity whatsoever, making them akin to a digital picture book or audio play.', '(ex: Mystery Case Files )\n\nIdle Game : A genre of game defined by its game play, the primary feature of which is that the easiest way to win is to leave the game running by itself for long periods of time.', '\n\nReal Time : When one minute of game play equals one minute in game time.', '\n\nWide-Open Sandbox : When the massive open world and optional material outweigh the actual, goal-oriented game play.']",4
higurashi,['(ex: Higurashi: When They Cry )'],1
card,['Card Battle Game : A game in which players brings their own deck of cards to play.'],2
battle,"['Card Battle Game : A game in which players brings their own deck of cards to play.', '(ex: Worms )\n\nMultiplayer Online Battle Arena (MOBA): A game that has teams of players competing with each other, typically using the point-and-click interface of a Real Time Strategy; but, unlike RTS games, players control only one Hero Unit instead of a military-industrial complex.', 'Real-Time Strategy (RTS): A game that focuses on construction and control of a fighting force in battle that takes place in real-time.', '\n\nBattle Royale Game :']",4
deck,['Card Battle Game : A game in which players brings their own deck of cards to play.'],1
casual,['\n\nCasual Video Game :'],1
design,['A game that is easy to learn and relatively simple by design.'],1
wii,"['(ex: Wii Sports )\n\nEndless Running Game : A game about enduring an endless sequence of obstacles as long as possible.', '(ex: Wii Fit )\n\nHidden Object Game : A game in which there is a photo realistic cluttered scene and the player must find and click on a series of objects in it.']",2
sport,"['(ex: Wii Sports )\n\nEndless Running Game : A game about enduring an endless sequence of obstacles as long as possible.', '(ex: City-State )\n\nSports Game : A game that simulates playing a traditional physical sport.']",2
endless,['(ex: Wii Sports )\n\nEndless Running Game : A game about enduring an endless sequence of obstacles as long as possible.'],1
running,['(ex: Wii Sports )\n\nEndless Running Game : A game about enduring an endless sequence of obstacles as long as possible.'],1
temple,['(ex: Temple Run )'],1
run,['(ex: Temple Run )'],1
shape,"['Exergaming : A game that encourages the player to exercise and to get into shape.', 'Match-Three Game : A game in which the player must match three objects of similar color/shape/species to eliminate said objects from the playing field.']",2
fit,['(ex: Wii Fit )\n\nHidden Object Game : A game in which there is a photo realistic cluttered scene and the player must find and click on a series of objects in it.'],1
hidden,['(ex: Wii Fit )\n\nHidden Object Game : A game in which there is a photo realistic cluttered scene and the player must find and click on a series of objects in it.'],1
photo,['(ex: Wii Fit )\n\nHidden Object Game : A game in which there is a photo realistic cluttered scene and the player must find and click on a series of objects in it.'],1
scene,['(ex: Wii Fit )\n\nHidden Object Game : A game in which there is a photo realistic cluttered scene and the player must find and click on a series of objects in it.'],1
case,"['(ex: Mystery Case Files )\n\nIdle Game : A genre of game defined by its game play, the primary feature of which is that the easiest way to win is to leave the game running by itself for long periods of time.']",1
files,"['(ex: Mystery Case Files )\n\nIdle Game : A genre of game defined by its game play, the primary feature of which is that the easiest way to win is to leave the game running by itself for long periods of time.']",1
idle,"['(ex: Mystery Case Files )\n\nIdle Game : A genre of game defined by its game play, the primary feature of which is that the easiest way to win is to leave the game running by itself for long periods of time.']",1
feature,"['(ex: Mystery Case Files )\n\nIdle Game : A genre of game defined by its game play, the primary feature of which is that the easiest way to win is to leave the game running by itself for long periods of time.', '(ex: Dig Dug )\n\nDigital Pinball Tables : Computerized pinball games, whether replicas of Physical Pinball Tables or original boards with features that can only exist in software.', ""A game that you can play for free, but if you pay premium then you'll get full access to features that you couldn't get for free and remove advertisements."", '\n\nOnline Games : Video games that require an Internet connection for some, most, or all of its features.']",4
period,"['(ex: Mystery Case Files )\n\nIdle Game : A genre of game defined by its game play, the primary feature of which is that the easiest way to win is to leave the game running by itself for long periods of time.']",1
cookie,['(ex: Cookie Clicker )'],1
clicker,['(ex: Cookie Clicker )'],1
task,"['Time Management Game : A game that requires the player to accomplish tasks as fast as possible.', 'Programming Game : A game in which the player has little to no direct control over the game\'s events, and must set up the solution, then hit a ""go"" switch to activate the solution and see if it accomplishes the task correctly.']",2
diner,"[""(ex: Diner Dash )\n\nVirtual Paper Doll : A game that is about customizing a character's appearance.""]",1
dash,"[""(ex: Diner Dash )\n\nVirtual Paper Doll : A game that is about customizing a character's appearance.""]",1
virtual,"[""(ex: Diner Dash )\n\nVirtual Paper Doll : A game that is about customizing a character's appearance."", '(ex: The Idolmaster )\n\nVirtual Pet : A game where the player interacts with a digital pet, with the goal of caring for it like a real one.']",2
paper,"[""(ex: Diner Dash )\n\nVirtual Paper Doll : A game that is about customizing a character's appearance.""]",1
doll,"[""(ex: Diner Dash )\n\nVirtual Paper Doll : A game that is about customizing a character's appearance.""]",1
appearance,"[""(ex: Diner Dash )\n\nVirtual Paper Doll : A game that is about customizing a character's appearance.""]",1
terrain,['Digging Game : A game in which the player digs through terrain while minding falling objects.'],1
dig,"['(ex: Dig Dug )\n\nDigital Pinball Tables : Computerized pinball games, whether replicas of Physical Pinball Tables or original boards with features that can only exist in software.']",1
dug,"['(ex: Dig Dug )\n\nDigital Pinball Tables : Computerized pinball games, whether replicas of Physical Pinball Tables or original boards with features that can only exist in software.']",1
digital,"['(ex: Dig Dug )\n\nDigital Pinball Tables : Computerized pinball games, whether replicas of Physical Pinball Tables or original boards with features that can only exist in software.']",1
table,"['(ex: Dig Dug )\n\nDigital Pinball Tables : Computerized pinball games, whether replicas of Physical Pinball Tables or original boards with features that can only exist in software.']",1
replica,"['(ex: Dig Dug )\n\nDigital Pinball Tables : Computerized pinball games, whether replicas of Physical Pinball Tables or original boards with features that can only exist in software.']",1
physical,"['(ex: Dig Dug )\n\nDigital Pinball Tables : Computerized pinball games, whether replicas of Physical Pinball Tables or original boards with features that can only exist in software.']",1
tables,"['(ex: Dig Dug )\n\nDigital Pinball Tables : Computerized pinball games, whether replicas of Physical Pinball Tables or original boards with features that can only exist in software.']",1
board,"['(ex: Dig Dug )\n\nDigital Pinball Tables : Computerized pinball games, whether replicas of Physical Pinball Tables or original boards with features that can only exist in software.', '(ex: WarioWare )\n\nParty Game : A Minigame Game in which two to four players compete against each other in a board game-like environment.', 'A game usually based on Minesweeper involving a tile-based board on which you uncover clues and use them to reach the goal while avoiding threats or satisfying some other condition.']",3
software,"['(ex: Dig Dug )\n\nDigital Pinball Tables : Computerized pinball games, whether replicas of Physical Pinball Tables or original boards with features that can only exist in software.', '(ex: Lemmings )\n\nGame Maker : Software focused on creating whole games from the ground up with preexisting assets.', 'Sometimes, the software itself is a game.', ""\n\n30-Day Free Trial : Software which you're allowed to use for a fixed, limited amount of time without paying for it."", '\n\nShovelware : Software that is normally sold in bundles of several products, but it can refer to lowest-common-denominator software in general.']",6
kind,"['\n\nDriving Game : A game in which the player drives a vehicle of some kind.', '(ex: Driver )\n\nRacing Game : A game in which the player drives a vehicle of some kind and races against either other players or time.', '(ex: Pac-Man )\n\nMad Marble Maze : A game in which the player rolls a round object of some kind from the beginning to the end of a level.']",3
driver,['(ex: Driver )\n\nRacing Game : A game in which the player drives a vehicle of some kind and races against either other players or time.'],1
racing,['(ex: Driver )\n\nRacing Game : A game in which the player drives a vehicle of some kind and races against either other players or time.'],1
race,"['(ex: Driver )\n\nRacing Game : A game in which the player drives a vehicle of some kind and races against either other players or time.', 'Colorful characters use colorful weapons in their races.']",2
speed,['(ex: Need for Speed )\n\nMascot Racer :'],1
racer,['(ex: Need for Speed )\n\nMascot Racer :'],1
kart,['(ex: Mario Kart )\n\nVehicular Combat : A game where the player controls a normally armed motor vehicle and must destroy all enemies.'],1
vehicular,['(ex: Mario Kart )\n\nVehicular Combat : A game where the player controls a normally armed motor vehicle and must destroy all enemies.'],1
motor,['(ex: Mario Kart )\n\nVehicular Combat : A game where the player controls a normally armed motor vehicle and must destroy all enemies.'],1
twisted,['(ex: Twisted Metal )\n\nEscort Game : A game about escorting someone or something.'],1
escort,['(ex: Twisted Metal )\n\nEscort Game : A game about escorting someone or something.'],1
lemmings,['(ex: Lemmings )\n\nGame Maker : Software focused on creating whole games from the ground up with preexisting assets.'],1
maker,"['(ex: Lemmings )\n\nGame Maker : Software focused on creating whole games from the ground up with preexisting assets.', '(ex: LittleBigPlanet , Super Mario Maker )\n\n.io']",2
ground,['(ex: Lemmings )\n\nGame Maker : Software focused on creating whole games from the ground up with preexisting assets.'],1
asset,['(ex: Lemmings )\n\nGame Maker : Software focused on creating whole games from the ground up with preexisting assets.'],1
littlebigplanet,"['(ex: LittleBigPlanet , Super Mario Maker )\n\n.io']",1
versus,['Game : An online Player Versus Player game that is quick and easy to pick up and play.'],1
web,"['Mostly consists of Web Games with many having a mobile app version as well.', 'Web Games : An online game is that is played on a website via your web browser.']",3
app,['Mostly consists of Web Games with many having a mobile app version as well.'],1
version,"['Mostly consists of Web Games with many having a mobile app version as well.', 'Beta Test : A development version of the game, built to test how the various components of the program interact with one another and the computer.', 'Some developers have an ""Open Beta"" process, giving access to a pre-release version of the game to the general public (or play testers selected from a public pool) for more extensive testing.', '\n\nLicense-Added Game : A specific type of Licensed Game in which the license is added to a new version of an existing video game franchise.']",4
maze,"['\n\nMaze Game :', ""A game that takes place in a maze, and the player must either get from one side of the maze to the other, or clear it of every item that won't kill the player."", '(ex: Pac-Man )\n\nMad Marble Maze : A game in which the player rolls a round object of some kind from the beginning to the end of a level.']",4
place,"[""A game that takes place in a maze, and the player must either get from one side of the maze to the other, or clear it of every item that won't kill the player."", 'Real-Time Strategy (RTS): A game that focuses on construction and control of a fighting force in battle that takes place in real-time.', '\n\nTurn-Based Strategy, Real Time Combat : A TBS game where the combat sections take place in Real Time , meaning no Turn-Based Combat .', ""This is where you'll find Game Mods listed in one place.""]",4
side,"[""A game that takes place in a maze, and the player must either get from one side of the maze to the other, or clear it of every item that won't kill the player."", '\n\nSide View : A perspective that views all objects from the side and nowhere else.']",3
item,"[""A game that takes place in a maze, and the player must either get from one side of the maze to the other, or clear it of every item that won't kill the player."", 'Roguelike : A game that features Dungeon Crawling with randomly generated environments randomly stocked from a huge list of monsters and items, Permadeath , Anti-Grinding and is Nintendo Hard .', '\n\nPop Up Video Games : A game in which clicking on background items results in cute animations.', 'Allegedly Free Game : A game that you can play for free, but you will have to pay money to access other game areas or get particular abilities and items.']",4
pac,['(ex: Pac-Man )\n\nMad Marble Maze : A game in which the player rolls a round object of some kind from the beginning to the end of a level.'],1
man,['(ex: Pac-Man )\n\nMad Marble Maze : A game in which the player rolls a round object of some kind from the beginning to the end of a level.'],1
marble,['(ex: Pac-Man )\n\nMad Marble Maze : A game in which the player rolls a round object of some kind from the beginning to the end of a level.'],1
beginning,['(ex: Pac-Man )\n\nMad Marble Maze : A game in which the player rolls a round object of some kind from the beginning to the end of a level.'],1
end,['(ex: Pac-Man )\n\nMad Marble Maze : A game in which the player rolls a round object of some kind from the beginning to the end of a level.'],1
ball,"['(ex: Super Monkey Ball )\n\nMedical Game :', 'Breaking Out : A game in which a paddle at the bottom of the screen bounces a ball to destroy blocks, and missing the ball results in the player losing a life.']",3
medical,['(ex: Super Monkey Ball )\n\nMedical Game :'],1
role,"['A game in which the player takes the role of a doctor or medic and has to treat patients.', 'Role-Playing Game (RPG) â€” see also Tabletop Games (Tabletop RPG): A game in which the player controls a character or party of characters in a statistically abstracted way.', 'Action RPG : A game that combines parts from Role Playing Games and Action Adventure Games together.', 'Either a sub-genre of the Role-playing Game or a genre modifier, depending on who you ask.', 'Massively Multiplayer Online Role-Playing Game (MMORPG): A game that has hundreds of players interacting with each other in the same world in real-time, which completing quests and leveling up.', 'A Multi-User Text-Oriented Game that emphasizes role playing and player intervention.', '\n\nMUSH ( Multi User Shared Hallucination ): A MUD that is just a series of rooms, with players given the bare minimum of interaction systems and let loose to create and manage their own role playing.', '(ex: Nioh , Bloodborne )\n\nStrategy RPG (SRPG): A game that is a Role Playing Game, but it plays like a Turn-Based Strategy or Real-Time Strategy.', ""\n\nDating Sim : A game in which the player courts at least one potential lover, and the player must keep track of every character's feelings about them and giving out presents, which will feel like a Role Playing Game."", 'A multiplayer mode in which different players have totally different roles and capabilities.', ""\n\nRPG Elements : A game that isn't exactly a Role-Playing Game , but the player character is gaining experience points and levels like in an RPG.""]",11
doctor,['A game in which the player takes the role of a doctor or medic and has to treat patients.'],1
medic,['A game in which the player takes the role of a doctor or medic and has to treat patients.'],1
patient,['A game in which the player takes the role of a doctor or medic and has to treat patients.'],1
trauma,"['(ex: Trauma Center , Theme Hospital )\n\nMinigame Game : A game that has a series of puzzles, challenges and games with very different requirements for defeating them.']",1
center,"['(ex: Trauma Center , Theme Hospital )\n\nMinigame Game : A game that has a series of puzzles, challenges and games with very different requirements for defeating them.']",1
theme,"['(ex: Trauma Center , Theme Hospital )\n\nMinigame Game : A game that has a series of puzzles, challenges and games with very different requirements for defeating them.']",1
hospital,"['(ex: Trauma Center , Theme Hospital )\n\nMinigame Game : A game that has a series of puzzles, challenges and games with very different requirements for defeating them.']",1
minigame,"['(ex: Trauma Center , Theme Hospital )\n\nMinigame Game : A game that has a series of puzzles, challenges and games with very different requirements for defeating them.', '(ex: WarioWare )\n\nParty Game : A Minigame Game in which two to four players compete against each other in a board game-like environment.', 'Minigame : A separate game present inside the main game.']",3
requirement,"['(ex: Trauma Center , Theme Hospital )\n\nMinigame Game : A game that has a series of puzzles, challenges and games with very different requirements for defeating them.']",1
warioware,['(ex: WarioWare )\n\nParty Game : A Minigame Game in which two to four players compete against each other in a board game-like environment.'],1
party,"['(ex: WarioWare )\n\nParty Game : A Minigame Game in which two to four players compete against each other in a board game-like environment.', '(ex: Mario Party )\n\nMon Game : A game that allows the player to befriend or capture various creatures to fight on their behalf.', 'Role-Playing Game (RPG) â€” see also Tabletop Games (Tabletop RPG): A game in which the player controls a character or party of characters in a statistically abstracted way.', '(ex: Mass Effect , The Elder Scrolls )\n\nEastern RPG : A usually Japanese game that tends to have a linear plot and a party of predefined characters written into said plot.', 'Game Mod : Third-party modifications applied to an existing game.']",5
mon,"['(ex: Mario Party )\n\nMon Game : A game that allows the player to befriend or capture various creatures to fight on their behalf.', '(ex: PokÃ©mon , Shin Megami Tensei )\n\nPuzzle Game : A game that requires mental skill as well as, or instead of, dexterity and quick reflexes.']",2
creature,"['(ex: Mario Party )\n\nMon Game : A game that allows the player to befriend or capture various creatures to fight on their behalf.', '(ex: beatmania , Guitar Hero )\n\nRising Up The Food Chain Game : A game in which the player must eat creatures smaller than himself and become bigger, which allows him to eat more creatures.', 'Breeding Sim : This type of game focuses on breeding creatures to get specific traits.', '(ex: Creatures , Flight Rising )\n\nConstruction and Management Games : This type of game focuses on elements like gathering and management of resources, construction, expansion, research and exploration.']",5
behalf,['(ex: Mario Party )\n\nMon Game : A game that allows the player to befriend or capture various creatures to fight on their behalf.'],1
anime,['Also happens to be a genre of anime and manga .'],1
manga,['Also happens to be a genre of anime and manga .'],1
pokã,"['(ex: PokÃ©mon , Shin Megami Tensei )\n\nPuzzle Game : A game that requires mental skill as well as, or instead of, dexterity and quick reflexes.']",1
shin,"['(ex: PokÃ©mon , Shin Megami Tensei )\n\nPuzzle Game : A game that requires mental skill as well as, or instead of, dexterity and quick reflexes.']",1
megami,"['(ex: PokÃ©mon , Shin Megami Tensei )\n\nPuzzle Game : A game that requires mental skill as well as, or instead of, dexterity and quick reflexes.']",1
tensei,"['(ex: PokÃ©mon , Shin Megami Tensei )\n\nPuzzle Game : A game that requires mental skill as well as, or instead of, dexterity and quick reflexes.']",1
dexterity,"['(ex: PokÃ©mon , Shin Megami Tensei )\n\nPuzzle Game : A game that requires mental skill as well as, or instead of, dexterity and quick reflexes.']",1
reflex,"['(ex: PokÃ©mon , Shin Megami Tensei )\n\nPuzzle Game : A game that requires mental skill as well as, or instead of, dexterity and quick reflexes.']",1
professor,['(ex: Professor Layton )\n\nBizarre Puzzle Game :'],1
layton,['(ex: Professor Layton )\n\nBizarre Puzzle Game :'],1
bizarre,['(ex: Professor Layton )\n\nBizarre Puzzle Game :'],1
mind,['A Puzzle Game that is so weird and mind-defying that trying to label it with a genre is a puzzle in and of itself.'],1
katamari,['(ex: Katamari Damacy )'],1
damacy,['(ex: Katamari Damacy )'],1
paddle,"['Breaking Out : A game in which a paddle at the bottom of the screen bounces a ball to destroy blocks, and missing the ball results in the player losing a life.']",1
bottom,"['Breaking Out : A game in which a paddle at the bottom of the screen bounces a ball to destroy blocks, and missing the ball results in the player losing a life.']",1
block,"['Breaking Out : A game in which a paddle at the bottom of the screen bounces a ball to destroy blocks, and missing the ball results in the player losing a life.', ""Falling Blocks : A game in which blocks fall from the top of the screen, requiring the player to move and flip them so that they'll be arranged in a way to make them disappear, and if the blocks reach the top of the screen then the game ends.""]",3
result,"['Breaking Out : A game in which a paddle at the bottom of the screen bounces a ball to destroy blocks, and missing the ball results in the player losing a life.', '\n\nPop Up Video Games : A game in which clicking on background items results in cute animations.']",2
breakout,['(ex: Breakout )'],1
match,['Match-Three Game : A game in which the player must match three objects of similar color/shape/species to eliminate said objects from the playing field.'],1
color,['Match-Three Game : A game in which the player must match three objects of similar color/shape/species to eliminate said objects from the playing field.'],1
specie,['Match-Three Game : A game in which the player must match three objects of similar color/shape/species to eliminate said objects from the playing field.'],1
playing,"['Match-Three Game : A game in which the player must match three objects of similar color/shape/species to eliminate said objects from the playing field.', 'Role-Playing Game (RPG) â€” see also Tabletop Games (Tabletop RPG): A game in which the player controls a character or party of characters in a statistically abstracted way.', 'Action RPG : A game that combines parts from Role Playing Games and Action Adventure Games together.', 'Massively Multiplayer Online Role-Playing Game (MMORPG): A game that has hundreds of players interacting with each other in the same world in real-time, which completing quests and leveling up.', 'A Multi-User Text-Oriented Game that emphasizes role playing and player intervention.', '\n\nMUSH ( Multi User Shared Hallucination ): A MUD that is just a series of rooms, with players given the bare minimum of interaction systems and let loose to create and manage their own role playing.', '(ex: Nioh , Bloodborne )\n\nStrategy RPG (SRPG): A game that is a Role Playing Game, but it plays like a Turn-Based Strategy or Real-Time Strategy.', ""\n\nDating Sim : A game in which the player courts at least one potential lover, and the player must keep track of every character's feelings about them and giving out presents, which will feel like a Role Playing Game."", ""\n\nRPG Elements : A game that isn't exactly a Role-Playing Game , but the player character is gaining experience points and levels like in an RPG.""]",9
field,['Match-Three Game : A game in which the player must match three objects of similar color/shape/species to eliminate said objects from the playing field.'],1
crush,['(ex: Candy Crush Saga )'],1
saga,['(ex: Candy Crush Saga )'],1
programming,"['Programming Game : A game in which the player has little to no direct control over the game\'s events, and must set up the solution, then hit a ""go"" switch to activate the solution and see if it accomplishes the task correctly.']",1
control,"['Programming Game : A game in which the player has little to no direct control over the game\'s events, and must set up the solution, then hit a ""go"" switch to activate the solution and see if it accomplishes the task correctly.', '(ex: Deus Ex )\n\nLife Simulation Game : A game in which the player plays as, or at least has control over the lives, of living beings and goes through their life.', 'Real-Time Strategy (RTS): A game that focuses on construction and control of a fighting force in battle that takes place in real-time.']",3
event,"['Programming Game : A game in which the player has little to no direct control over the game\'s events, and must set up the solution, then hit a ""go"" switch to activate the solution and see if it accomplishes the task correctly.', '(ex: RollerCoaster Tycoon )\n\nDisaster Relief Game : A game where players have to cooperate in order to prevent, survive or rescue people from a disaster event.']",2
solution,"['Programming Game : A game in which the player has little to no direct control over the game\'s events, and must set up the solution, then hit a ""go"" switch to activate the solution and see if it accomplishes the task correctly.']",2
go,"['Programming Game : A game in which the player has little to no direct control over the game\'s events, and must set up the solution, then hit a ""go"" switch to activate the solution and see if it accomplishes the task correctly.']",1
incredible,"['(ex: The Incredible Machine )\n\nTeamwork Puzzle Game : A game in which the player controls a group of characters, and progress frequently depends on puzzles making use of this fact.']",1
machine,"['(ex: The Incredible Machine )\n\nTeamwork Puzzle Game : A game in which the player controls a group of characters, and progress frequently depends on puzzles making use of this fact.']",1
teamwork,"['(ex: The Incredible Machine )\n\nTeamwork Puzzle Game : A game in which the player controls a group of characters, and progress frequently depends on puzzles making use of this fact.']",1
group,"['(ex: The Incredible Machine )\n\nTeamwork Puzzle Game : A game in which the player controls a group of characters, and progress frequently depends on puzzles making use of this fact.', '(ex: Plants vs. Zombies )\n\nTurn-Based Strategy (TBS): A game that is about abstract mechanics of efficiently waging war, exploiting resources and controlling huge groups of combatants all at once.']",2
progress,"['(ex: The Incredible Machine )\n\nTeamwork Puzzle Game : A game in which the player controls a group of characters, and progress frequently depends on puzzles making use of this fact.']",1
fact,"['(ex: The Incredible Machine )\n\nTeamwork Puzzle Game : A game in which the player controls a group of characters, and progress frequently depends on puzzles making use of this fact.']",1
tilesweeper,['\n\nTilesweeper :'],1
minesweeper,['A game usually based on Minesweeper involving a tile-based board on which you uncover clues and use them to reach the goal while avoiding threats or satisfying some other condition.'],1
tile,['A game usually based on Minesweeper involving a tile-based board on which you uncover clues and use them to reach the goal while avoiding threats or satisfying some other condition.'],1
clue,['A game usually based on Minesweeper involving a tile-based board on which you uncover clues and use them to reach the goal while avoiding threats or satisfying some other condition.'],1
